Id:,11009
Estación:,CELAYA (SMN)-GTO
Posición:,20.5363888889N -100.830277778W
Variable:,Unidades Calor (oD)
Fecha Inicial:,02/01/1922
Fecha Final:,11/02/2016
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1922,9.5
02,02,1922,9.25
02,03,1922,8.5
02,04,1922,8.0
02,05,1922,9.5
02,06,1922,6.5
02,07,1922,8.0
02,08,1922,7.5
02,09,1922,8.75
02,10,1922,8.75
02,11,1922,8.0
02,12,1922,7.25
02,13,1922,8.0
02,14,1922,9.0
02,15,1922,7.5
02,16,1922,8.0
02,17,1922,6.5
02,18,1922,4.17
02,19,1922,5.75
02,20,1922,5.0
02,21,1922,5.75
02,22,1922,4.84
02,23,1922,6.3
02,24,1922,7.5
02,25,1922,5.39
02,26,1922,5.21
02,27,1922,4.35
02,28,1922,4.07
03,01,1922,null
03,02,1922,10.05
03,03,1922,10.9
03,04,1922,11.1
03,05,1922,7.62
03,06,1922,9.1
03,07,1922,10.0
03,08,1922,9.1
03,09,1922,9.05
03,10,1922,11.0
03,11,1922,10.5
03,12,1922,10.2
03,13,1922,10.45
03,14,1922,12.05
03,15,1922,10.75
03,16,1922,10.4
03,17,1922,10.0
03,18,1922,11.65
03,19,1922,12.3
03,20,1922,10.25
03,21,1922,9.8
03,22,1922,11.3
03,23,1922,8.55
03,24,1922,9.2
03,25,1922,10.1
03,26,1922,11.45
03,27,1922,9.9
03,28,1922,11.05
03,29,1922,10.85
03,30,1922,12.7
03,31,1922,10.65
04,01,1922,10.5
04,02,1922,10.3
04,03,1922,11.0
04,04,1922,9.4
04,05,1922,11.55
04,06,1922,10.65
04,07,1922,11.8
04,08,1922,13.07
04,09,1922,13.04
04,10,1922,13.47
04,11,1922,13.59
04,12,1922,13.15
04,13,1922,13.45
04,14,1922,13.88
04,15,1922,14.22
04,16,1922,14.02
04,17,1922,14.76
04,18,1922,14.51
04,19,1922,15.66
04,20,1922,13.5
04,21,1922,9.8
04,22,1922,11.35
04,23,1922,11.1
04,24,1922,12.55
04,25,1922,9.3
04,26,1922,10.95
04,27,1922,12.5
04,28,1922,12.25
04,29,1922,11.4
04,30,1922,12.15
05,01,1922,10.65
05,02,1922,13.1
05,03,1922,13.93
05,04,1922,14.24
05,05,1922,15.48
05,06,1922,14.7
05,07,1922,14.75
05,08,1922,14.6
05,09,1922,15.18
05,10,1922,15.01
05,11,1922,15.08
05,12,1922,15.6
05,13,1922,15.81
05,14,1922,14.38
05,15,1922,14.39
05,16,1922,12.84
05,17,1922,15.77
05,18,1922,15.9
05,19,1922,15.98
05,20,1922,15.69
05,21,1922,12.85
05,22,1922,15.56
05,23,1922,16.64
05,24,1922,11.5
05,25,1922,11.1
05,26,1922,11.65
05,27,1922,11.4
05,28,1922,13.93
05,29,1922,13.82
05,30,1922,12.72
05,31,1922,14.78
06,01,1922,14.52
06,02,1922,14.02
06,03,1922,13.93
06,04,1922,14.53
06,05,1922,13.67
06,06,1922,14.36
06,07,1922,11.85
06,08,1922,11.3
06,09,1922,10.3
06,10,1922,10.25
06,11,1922,12.45
06,12,1922,12.1
06,13,1922,11.0
06,14,1922,11.85
06,15,1922,11.4
06,16,1922,12.15
06,17,1922,14.15
06,18,1922,12.0
06,19,1922,11.65
06,20,1922,11.55
06,21,1922,12.4
06,22,1922,12.2
06,23,1922,11.45
06,24,1922,10.9
06,25,1922,11.95
06,26,1922,10.8
06,27,1922,11.0
06,28,1922,10.9
06,29,1922,9.45
06,30,1922,11.6
07,01,1922,12.05
07,02,1922,12.15
07,03,1922,12.35
07,04,1922,10.9
07,05,1922,11.75
07,06,1922,11.55
07,07,1922,12.45
07,08,1922,11.6
07,09,1922,10.95
07,10,1922,12.4
07,11,1922,11.35
07,12,1922,13.2
07,13,1922,12.5
07,14,1922,11.45
07,15,1922,11.6
07,16,1922,11.9
07,17,1922,12.2
07,18,1922,12.0
07,19,1922,10.35
07,20,1922,10.25
07,21,1922,10.75
07,22,1922,11.2
07,23,1922,12.05
07,24,1922,11.35
07,25,1922,11.65
07,26,1922,12.05
07,27,1922,12.05
07,28,1922,12.45
07,29,1922,12.15
07,30,1922,12.75
07,31,1922,12.4
08,01,1922,11.7
08,02,1922,12.0
08,03,1922,12.05
08,04,1922,11.0
08,05,1922,11.8
08,06,1922,11.6
08,07,1922,11.9
08,08,1922,13.2
08,09,1922,12.5
08,10,1922,13.45
08,11,1922,12.2
08,12,1922,12.65
08,13,1922,12.75
08,14,1922,13.2
08,15,1922,12.7
08,16,1922,12.1
08,17,1922,12.2
08,18,1922,11.15
08,19,1922,11.95
08,20,1922,13.75
08,21,1922,13.37
08,22,1922,12.5
08,23,1922,12.15
08,24,1922,11.85
08,25,1922,11.75
08,26,1922,11.9
08,27,1922,13.65
08,28,1922,13.35
08,29,1922,12.95
08,30,1922,13.15
08,31,1922,12.8
09,01,1922,12.3
09,02,1922,12.69
09,03,1922,11.0
09,04,1922,12.05
09,05,1922,12.0
09,06,1922,12.75
09,07,1922,11.45
09,08,1922,12.87
09,09,1922,13.44
09,10,1922,13.62
09,11,1922,13.81
09,12,1922,13.4
09,13,1922,13.4
09,14,1922,9.1
09,15,1922,10.9
09,16,1922,11.2
09,17,1922,11.85
09,18,1922,11.85
09,19,1922,12.75
09,20,1922,12.55
09,21,1922,12.35
09,22,1922,11.8
09,23,1922,10.8
09,24,1922,12.3
09,25,1922,10.85
09,26,1922,9.35
09,27,1922,10.0
09,28,1922,10.05
09,29,1922,10.6
09,30,1922,11.6
10,01,1922,11.3
10,02,1922,10.5
10,03,1922,10.0
10,04,1922,8.65
10,05,1922,9.4
10,06,1922,8.65
10,07,1922,9.0
10,08,1922,9.9
10,09,1922,8.7
10,10,1922,8.65
10,11,1922,5.78
10,12,1922,6.27
10,13,1922,5.45
10,14,1922,5.47
10,15,1922,5.47
10,16,1922,6.83
10,17,1922,7.85
10,18,1922,9.35
10,19,1922,9.25
10,20,1922,7.35
10,21,1922,6.83
10,22,1922,8.75
10,23,1922,10.65
10,24,1922,10.8
10,25,1922,10.1
10,26,1922,8.35
10,27,1922,9.5
10,28,1922,9.45
10,29,1922,9.35
10,30,1922,9.55
10,31,1922,9.05
11,01,1922,8.75
11,02,1922,8.85
11,03,1922,7.9
11,04,1922,8.45
11,05,1922,8.55
11,06,1922,9.15
11,07,1922,10.25
11,08,1922,10.45
11,09,1922,8.5
11,10,1922,10.0
11,11,1922,7.4
11,12,1922,7.05
11,13,1922,7.45
11,14,1922,8.7
11,15,1922,11.5
11,16,1922,10.8
11,17,1922,9.9
11,18,1922,11.35
11,19,1922,9.7
11,20,1922,9.55
11,21,1922,8.0
11,22,1922,7.45
11,23,1922,7.7
11,24,1922,7.0
11,25,1922,7.52
11,26,1922,9.0
11,27,1922,7.2
11,28,1922,7.0
11,29,1922,10.0
11,30,1922,8.75
12,01,1922,8.95
12,02,1922,9.35
12,03,1922,7.35
12,04,1922,7.25
12,05,1922,6.0
12,06,1922,7.1
12,07,1922,7.7
12,08,1922,7.38
12,09,1922,7.66
12,10,1922,8.3
12,11,1922,7.8
12,12,1922,8.15
12,13,1922,8.25
12,14,1922,7.12
12,15,1922,7.45
12,16,1922,5.63
12,17,1922,7.2
12,18,1922,6.83
12,19,1922,6.82
12,20,1922,5.77
12,21,1922,5.55
12,22,1922,5.22
12,23,1922,5.44
12,24,1922,5.57
12,25,1922,5.83
12,26,1922,6.28
12,27,1922,6.54
12,28,1922,6.59
12,29,1922,6.38
12,30,1922,7.06
12,31,1922,8.0
01,01,1923,6.4
01,02,1923,6.91
01,03,1923,6.56
01,04,1923,6.9
01,05,1923,5.61
01,06,1923,6.96
01,07,1923,7.44
01,08,1923,7.81
01,09,1923,8.3
01,10,1923,6.73
01,11,1923,7.01
01,12,1923,5.93
01,13,1923,7.85
01,14,1923,7.51
01,15,1923,7.54
01,16,1923,6.05
01,17,1923,5.66
01,18,1923,5.05
01,19,1923,5.08
01,20,1923,9.01
01,21,1923,5.78
01,22,1923,6.25
01,23,1923,6.97
01,24,1923,6.92
01,25,1923,8.45
01,26,1923,7.8
01,27,1923,8.17
01,28,1923,7.97
01,29,1923,8.34
01,30,1923,8.15
01,31,1923,8.7
02,01,1923,7.95
02,02,1923,9.25
02,03,1923,11.25
02,04,1923,10.2
02,05,1923,7.5
02,06,1923,6.95
02,07,1923,6.31
02,08,1923,6.57
02,09,1923,7.75
02,10,1923,7.66
02,11,1923,8.77
02,12,1923,8.8
02,13,1923,8.7
02,14,1923,8.52
02,15,1923,8.65
02,16,1923,7.65
02,17,1923,8.4
02,18,1923,7.95
02,19,1923,4.73
02,20,1923,5.8
02,21,1923,5.76
02,22,1923,5.07
02,23,1923,7.12
02,24,1923,7.14
02,25,1923,8.11
02,26,1923,9.95
02,27,1923,8.15
02,28,1923,8.65
03,01,1923,9.05
03,02,1923,8.75
03,03,1923,8.85
03,04,1923,10.95
03,05,1923,9.95
03,06,1923,11.74
03,07,1923,11.79
03,08,1923,10.98
03,09,1923,11.81
03,10,1923,10.76
03,11,1923,12.43
03,12,1923,13.12
03,13,1923,12.97
03,14,1923,9.45
03,15,1923,10.52
03,16,1923,10.7
03,17,1923,10.0
03,18,1923,9.3
03,19,1923,10.84
03,20,1923,11.95
03,21,1923,5.22
03,22,1923,9.75
03,23,1923,10.45
03,24,1923,11.54
03,25,1923,10.25
03,26,1923,11.22
03,27,1923,10.0
03,28,1923,9.35
03,29,1923,10.65
03,30,1923,10.7
03,31,1923,11.28
04,01,1923,11.17
04,02,1923,10.71
04,03,1923,11.62
04,04,1923,12.26
04,05,1923,12.14
04,06,1923,12.64
04,07,1923,13.58
04,08,1923,14.16
04,09,1923,14.66
04,10,1923,14.54
04,11,1923,14.14
04,12,1923,13.77
04,13,1923,13.66
04,14,1923,12.42
04,15,1923,11.44
04,16,1923,12.74
04,17,1923,12.55
04,18,1923,13.35
04,19,1923,12.74
04,20,1923,13.04
04,21,1923,13.2
04,22,1923,13.8
04,23,1923,14.14
04,24,1923,13.04
04,25,1923,13.32
04,26,1923,13.84
04,27,1923,15.77
04,28,1923,14.93
04,29,1923,15.03
04,30,1923,15.69
05,01,1923,15.6
05,02,1923,15.52
05,03,1923,14.55
05,04,1923,14.92
05,05,1923,14.92
05,06,1923,14.06
05,07,1923,14.0
05,08,1923,14.9
05,09,1923,15.05
05,10,1923,13.81
05,11,1923,13.85
05,12,1923,14.1
05,13,1923,14.94
05,14,1923,14.15
05,15,1923,13.56
05,16,1923,14.06
05,17,1923,14.13
05,18,1923,14.67
05,19,1923,15.86
05,20,1923,15.98
05,21,1923,14.78
05,22,1923,15.36
05,23,1923,15.74
05,24,1923,14.28
05,25,1923,15.85
05,26,1923,15.32
05,27,1923,14.93
05,28,1923,16.01
05,29,1923,14.27
05,30,1923,15.28
05,31,1923,15.33
06,01,1923,14.31
06,02,1923,15.63
06,03,1923,15.41
06,04,1923,14.46
06,05,1923,14.74
06,06,1923,15.01
06,07,1923,15.65
06,08,1923,14.77
06,09,1923,14.81
06,10,1923,15.96
06,11,1923,14.67
06,12,1923,13.89
06,13,1923,15.24
06,14,1923,14.28
06,15,1923,14.38
06,16,1923,15.22
06,17,1923,14.77
06,18,1923,12.9
06,19,1923,11.75
06,20,1923,11.1
06,21,1923,13.66
06,22,1923,13.47
06,23,1923,14.32
06,24,1923,15.02
06,25,1923,14.74
06,26,1923,14.42
06,27,1923,14.51
06,28,1923,13.43
06,29,1923,15.04
06,30,1923,13.75
07,01,1923,13.42
07,02,1923,10.25
07,03,1923,11.9
07,04,1923,9.75
07,05,1923,8.5
07,06,1923,8.5
07,07,1923,10.75
07,08,1923,11.25
07,09,1923,10.75
07,10,1923,10.0
07,11,1923,7.25
07,12,1923,8.0
07,13,1923,9.75
07,14,1923,9.25
07,15,1923,9.25
07,16,1923,9.5
07,17,1923,11.0
07,18,1923,10.72
07,19,1923,9.75
07,20,1923,10.22
07,21,1923,10.0
07,22,1923,11.25
07,23,1923,9.75
07,24,1923,11.0
07,25,1923,9.5
07,26,1923,8.25
07,27,1923,10.0
07,28,1923,9.5
07,29,1923,11.5
07,30,1923,9.0
07,31,1923,10.5
08,01,1923,11.0
08,02,1923,10.9
08,03,1923,10.0
08,04,1923,9.0
08,05,1923,10.0
08,06,1923,9.0
08,07,1923,8.75
08,08,1923,10.25
08,09,1923,10.5
08,10,1923,9.5
08,11,1923,8.75
08,12,1923,9.5
08,13,1923,8.5
08,14,1923,8.0
08,15,1923,7.5
08,16,1923,9.5
08,17,1923,8.0
08,18,1923,10.0
08,19,1923,9.0
08,20,1923,9.5
08,21,1923,9.5
08,22,1923,10.5
08,23,1923,11.0
08,24,1923,11.5
08,25,1923,11.0
08,26,1923,10.25
08,27,1923,11.0
08,28,1923,11.4
08,29,1923,11.4
08,30,1923,11.0
08,31,1923,10.25
09,01,1923,9.0
09,02,1923,13.64
09,03,1923,13.23
09,04,1923,13.06
09,05,1923,13.3
09,06,1923,13.44
09,07,1923,14.57
09,08,1923,12.95
09,09,1923,12.96
09,10,1923,13.31
09,11,1923,12.8
09,12,1923,12.93
09,13,1923,12.65
09,14,1923,12.99
09,15,1923,12.81
09,16,1923,14.2
09,17,1923,13.29
09,18,1923,13.05
09,19,1923,12.84
09,20,1923,11.15
09,21,1923,12.05
09,22,1923,12.5
09,23,1923,11.65
09,24,1923,12.51
09,25,1923,12.3
09,26,1923,12.21
09,27,1923,12.4
09,28,1923,11.65
09,29,1923,12.49
09,30,1923,11.5
10,01,1923,12.81
10,02,1923,12.3
10,03,1923,10.95
10,04,1923,12.55
10,05,1923,9.9
10,06,1923,9.6
10,07,1923,7.9
10,08,1923,10.85
10,09,1923,12.94
10,10,1923,13.94
10,11,1923,12.25
10,12,1923,9.9
10,13,1923,11.65
10,14,1923,10.1
10,15,1923,10.95
10,16,1923,7.85
10,17,1923,8.05
10,18,1923,7.45
10,19,1923,8.18
10,20,1923,7.98
10,21,1923,7.67
10,22,1923,4.96
10,23,1923,6.02
10,24,1923,7.12
10,25,1923,7.44
10,26,1923,7.79
10,27,1923,6.79
10,28,1923,8.35
10,29,1923,8.65
10,30,1923,9.5
10,31,1923,10.1
11,01,1923,9.5
11,02,1923,10.05
11,03,1923,10.6
11,04,1923,10.75
11,05,1923,10.4
11,06,1923,9.85
11,07,1923,6.85
11,08,1923,7.6
11,09,1923,8.4
11,10,1923,7.95
11,11,1923,8.3
11,12,1923,6.25
11,13,1923,7.7
11,14,1923,7.9
11,15,1923,7.2
11,16,1923,7.65
11,17,1923,7.3
11,18,1923,6.65
11,19,1923,8.25
11,20,1923,7.45
11,21,1923,7.55
11,22,1923,7.77
11,23,1923,8.9
11,24,1923,8.43
11,25,1923,7.47
11,26,1923,7.6
11,27,1923,7.57
11,28,1923,6.46
11,29,1923,7.28
11,30,1923,7.8
12,01,1923,8.45
12,02,1923,8.11
12,03,1923,7.41
12,04,1923,7.07
12,05,1923,8.06
12,06,1923,7.69
12,07,1923,7.09
12,08,1923,6.53
