Id:,11009
Estación:,CELAYA (SMN)-GTO
Posición:,20.5363888889N -100.830277778W
Variable:,Temp Máxima (oC)
Fecha Inicial:,02/01/1922
Fecha Final:,11/02/2016
No Dato:,nan
Mes,Día,Anio,Datos
02,01,1922,25.0
02,02,1922,24.5
02,03,1922,24.0
02,04,1922,25.0
02,05,1922,25.0
02,06,1922,21.0
02,07,1922,22.0
02,08,1922,22.0
02,09,1922,23.5
02,10,1922,23.5
02,11,1922,25.0
02,12,1922,23.5
02,13,1922,24.0
02,14,1922,24.0
02,15,1922,23.0
02,16,1922,25.0
02,17,1922,23.0
02,18,1922,20.5
02,19,1922,20.5
02,20,1922,18.0
02,21,1922,19.0
02,22,1922,21.0
02,23,1922,24.0
02,24,1922,24.0
02,25,1922,23.5
02,26,1922,23.5
02,27,1922,20.0
02,28,1922,21.0
03,01,1922,null
03,02,1922,27.4
03,03,1922,28.0
03,04,1922,27.1
03,05,1922,26.3
03,06,1922,27.5
03,07,1922,28.0
03,08,1922,27.3
03,09,1922,27.5
03,10,1922,28.4
03,11,1922,28.4
03,12,1922,28.5
03,13,1922,28.3
03,14,1922,28.6
03,15,1922,28.9
03,16,1922,26.0
03,17,1922,28.0
03,18,1922,29.4
03,19,1922,29.9
03,20,1922,28.4
03,21,1922,26.0
03,22,1922,27.9
03,23,1922,25.1
03,24,1922,25.9
03,25,1922,27.3
03,26,1922,28.5
03,27,1922,28.2
03,28,1922,29.6
03,29,1922,29.1
03,30,1922,28.4
03,31,1922,28.4
04,01,1922,28.5
04,02,1922,27.9
04,03,1922,28.7
04,04,1922,27.4
04,05,1922,29.2
04,06,1922,29.3
04,07,1922,31.0
04,08,1922,31.7
04,09,1922,31.6
04,10,1922,30.8
04,11,1922,32.5
04,12,1922,31.8
04,13,1922,31.5
04,14,1922,32.7
04,15,1922,32.7
04,16,1922,31.6
04,17,1922,33.8
04,18,1922,32.7
04,19,1922,32.9
04,20,1922,28.4
04,21,1922,26.0
04,22,1922,29.0
04,23,1922,28.8
04,24,1922,29.7
04,25,1922,25.0
04,26,1922,27.8
04,27,1922,29.1
04,28,1922,28.6
04,29,1922,28.8
04,30,1922,28.4
05,01,1922,27.1
05,02,1922,29.4
05,03,1922,30.7
05,04,1922,31.5
05,05,1922,32.5
05,06,1922,32.5
05,07,1922,33.3
05,08,1922,33.3
05,09,1922,32.9
05,10,1922,33.9
05,11,1922,34.0
05,12,1922,34.0
05,13,1922,33.9
05,14,1922,30.7
05,15,1922,33.2
05,16,1922,31.6
05,17,1922,33.9
05,18,1922,34.4
05,19,1922,34.6
05,20,1922,34.5
05,21,1922,25.2
05,22,1922,35.7
05,23,1922,35.0
05,24,1922,27.6
05,25,1922,28.1
05,26,1922,28.4
05,27,1922,28.9
05,28,1922,31.6
05,29,1922,31.4
05,30,1922,30.8
05,31,1922,32.2
06,01,1922,31.6
06,02,1922,30.8
06,03,1922,31.6
06,04,1922,32.0
06,05,1922,31.4
06,06,1922,31.4
06,07,1922,28.0
06,08,1922,27.3
06,09,1922,25.7
06,10,1922,26.9
06,11,1922,28.9
06,12,1922,27.7
06,13,1922,25.7
06,14,1922,28.0
06,15,1922,27.8
06,16,1922,28.9
