,Mes,Dia,Anio,Evaporacion,Calor,Precipitacion,TempMax,TempMin,TempProm
0,2,1,1922,3.0,9.5,0.0,25.0,14.0,19.5
1,2,2,1922,2.9,9.25,0.0,24.5,14.0,19.25
2,2,3,1922,3.7,8.5,0.0,24.0,13.0,18.5
3,2,4,1922,3.1,8.0,0.0,25.0,11.0,18.0
4,2,5,1922,4.3,9.5,0.0,25.0,14.0,19.5
5,2,6,1922,2.3,6.5,0.0,21.0,12.0,16.5
6,2,7,1922,3.2,8.0,0.0,22.0,14.0,18.0
7,2,8,1922,1.2,7.5,0.0,22.0,13.0,17.5
8,2,9,1922,2.6,8.75,0.0,23.5,14.0,18.75
9,2,10,1922,6.5,8.75,0.0,23.5,14.0,18.75
10,2,11,1922,3.4,8.0,0.0,25.0,11.0,18.0
11,2,12,1922,1.6,7.25,0.0,23.5,11.0,17.25
12,2,13,1922,2.3,8.0,0.0,24.0,12.0,18.0
13,2,14,1922,2.9,9.0,0.0,24.0,14.0,19.0
14,2,15,1922,3.9,7.5,0.0,23.0,12.0,17.5
15,2,16,1922,4.2,8.0,0.0,25.0,11.0,18.0
16,2,17,1922,4.0,6.5,0.0,23.0,10.0,16.5
17,2,18,1922,2.2,4.17,0.0,20.5,6.0,13.25
18,2,19,1922,1.9,5.75,0.0,20.5,11.0,15.75
19,2,20,1922,2.3,5.0,0.0,18.0,12.0,15.0
20,2,21,1922,3.5,5.75,0.0,19.0,12.5,15.75
21,2,22,1922,4.8,4.84,0.0,21.0,8.0,14.5
22,2,23,1922,5.7,6.3,0.0,24.0,8.0,16.0
23,2,24,1922,4.4,7.5,0.0,24.0,11.0,17.5
24,2,25,1922,5.2,5.39,0.0,23.5,5.0,14.25
25,2,26,1922,4.2,5.21,0.0,23.5,4.0,13.75
26,2,27,1922,3.8,4.35,0.0,20.0,8.0,14.0
27,2,28,1922,4.3,4.07,0.0,21.0,4.0,12.5
28,3,1,1922,,,,,,
29,3,2,1922,,10.05,0.0,27.4,12.7,20.05
30,3,3,1922,,10.9,0.0,28.0,13.8,20.9
31,3,4,1922,,11.1,0.0,27.1,15.1,21.1
32,3,5,1922,,7.62,0.0,26.3,8.6,17.45
33,3,6,1922,,9.1,0.0,27.5,10.7,19.1
34,3,7,1922,,10.0,0.0,28.0,12.0,20.0
35,3,8,1922,,9.1,0.0,27.3,10.9,19.1
36,3,9,1922,,9.05,0.0,27.5,10.6,19.05
37,3,10,1922,,11.0,0.0,28.4,13.6,21.0
38,3,11,1922,,10.5,0.0,28.4,12.6,20.5
39,3,12,1922,,10.2,0.0,28.5,11.9,20.2
40,3,13,1922,,10.45,0.0,28.3,12.6,20.45
41,3,14,1922,,12.05,0.0,28.6,15.5,22.05
42,3,15,1922,,10.75,0.0,28.9,12.6,20.75
43,3,16,1922,,10.4,0.0,26.0,14.8,20.4
44,3,17,1922,,10.0,0.0,28.0,12.0,20.0
45,3,18,1922,,11.65,0.0,29.4,13.9,21.65
46,3,19,1922,,12.3,0.0,29.9,14.7,22.3
47,3,20,1922,,10.25,0.0,28.4,12.1,20.25
48,3,21,1922,,9.8,0.0,26.0,13.6,19.8
49,3,22,1922,,11.3,0.0,27.9,14.7,21.3
50,3,23,1922,,8.55,5.0,25.1,12.0,18.55
51,3,24,1922,,9.2,0.0,25.9,12.5,19.2
52,3,25,1922,,10.1,0.0,27.3,12.9,20.1
53,3,26,1922,,11.45,0.0,28.5,14.4,21.45
54,3,27,1922,,9.9,0.0,28.2,11.6,19.9
55,3,28,1922,,11.05,0.0,29.6,12.5,21.05
56,3,29,1922,,10.85,0.0,29.1,12.6,20.85
57,3,30,1922,3.3,12.7,0.0,28.4,17.0,22.7
58,3,31,1922,3.0,10.65,0.0,28.4,12.9,20.65
59,4,1,1922,2.0,10.5,1.0,28.5,12.5,20.5
60,4,2,1922,,10.3,0.0,27.9,12.7,20.3
61,4,3,1922,,11.0,1.4,28.7,13.3,21.0
62,4,4,1922,,9.4,0.0,27.4,11.4,19.4
63,4,5,1922,,11.55,0.0,29.2,13.9,21.55
64,4,6,1922,,10.65,0.0,29.3,12.0,20.65
65,4,7,1922,,11.8,0.0,31.0,12.8,21.9
66,4,8,1922,,13.07,0.0,31.7,14.9,23.3
67,4,9,1922,,13.04,0.0,31.6,14.9,23.25
68,4,10,1922,,13.47,0.0,30.8,16.3,23.55
69,4,11,1922,,13.59,0.0,32.5,15.5,24.0
70,4,12,1922,,13.15,0.0,31.8,15.0,23.4
71,4,13,1922,,13.45,0.0,31.5,15.8,23.65
72,4,14,1922,,13.88,0.0,32.7,16.0,24.35
73,4,15,1922,,14.22,0.0,32.7,16.7,24.7
74,4,16,1922,,14.02,0.0,31.6,16.9,24.25
75,4,17,1922,,14.76,0.0,33.8,17.3,25.55
76,4,18,1922,,14.51,0.0,32.7,17.3,25.0
77,4,19,1922,,15.66,0.0,32.9,19.6,26.25
78,4,20,1922,,13.5,0.0,28.4,18.6,23.5
79,4,21,1922,,9.8,0.0,26.0,13.6,19.8
80,4,22,1922,,11.35,0.0,29.0,13.7,21.35
81,4,23,1922,,11.1,0.0,28.8,13.4,21.1
82,4,24,1922,,12.55,13.6,29.7,15.4,22.55
83,4,25,1922,,9.3,0.0,25.0,13.6,19.3
84,4,26,1922,,10.95,0.0,27.8,14.1,20.95
85,4,27,1922,,12.5,0.0,29.1,15.9,22.5
86,4,28,1922,,12.25,0.0,28.6,15.9,22.25
87,4,29,1922,,11.4,0.0,28.8,14.0,21.4
88,4,30,1922,,12.15,6.7,28.4,15.9,22.15
89,5,1,1922,,10.65,0.0,27.1,14.2,20.65
90,5,2,1922,,13.1,0.0,29.4,16.8,23.1
91,5,3,1922,,13.93,0.0,30.7,17.3,24.0
92,5,4,1922,,14.24,0.0,31.5,17.4,24.45
93,5,5,1922,,15.48,0.0,32.5,19.4,25.95
94,5,6,1922,,14.7,0.0,32.5,17.8,25.15
95,5,7,1922,,14.75,0.0,33.3,17.5,25.4
96,5,8,1922,,14.6,0.0,33.3,17.2,25.25
97,5,9,1922,,15.18,0.0,32.9,18.6,25.75
98,5,10,1922,,15.01,0.0,33.9,17.8,25.85
99,5,11,1922,,15.08,0.0,34.0,17.9,25.95
100,5,12,1922,,15.6,0.0,34.0,19.0,26.5
101,5,13,1922,,15.81,1.5,33.9,19.5,26.7
102,5,14,1922,,14.38,0.7,30.7,18.2,24.45
103,5,15,1922,,14.39,0.6,33.2,16.8,25.0
104,5,16,1922,,12.84,0.0,31.6,14.5,23.05
105,5,17,1922,,15.77,0.0,33.9,19.4,26.65
106,5,18,1922,,15.9,0.0,34.4,19.5,26.95
107,5,19,1922,,15.98,0.0,34.6,19.6,27.1
108,5,20,1922,,15.69,0.0,34.5,19.0,26.75
109,5,21,1922,,12.85,0.0,25.2,20.5,22.85
110,5,22,1922,,15.56,0.0,35.7,18.3,27.0
111,5,23,1922,,16.64,26.7,35.0,20.9,27.95
112,5,24,1922,,11.5,10.7,27.6,15.4,21.5
113,5,25,1922,,11.1,0.0,28.1,14.1,21.1
114,5,26,1922,,11.65,0.0,28.4,14.9,21.65
115,5,27,1922,,11.4,0.0,28.9,13.9,21.4
116,5,28,1922,,13.93,0.0,31.6,16.7,24.15
117,5,29,1922,,13.82,0.0,31.4,16.6,24.0
118,5,30,1922,,12.72,0.0,30.8,14.8,22.8
119,5,31,1922,,14.78,0.4,32.2,18.1,25.15
120,6,1,1922,,14.52,0.0,31.6,17.9,24.75
121,6,2,1922,,14.02,0.0,30.8,17.4,24.1
122,6,3,1922,,13.93,0.0,31.6,16.7,24.15
123,6,4,1922,,14.53,0.0,32.0,17.7,24.85
124,6,5,1922,,13.67,0.0,31.4,16.3,23.85
125,6,6,1922,,14.36,48.0,31.4,17.7,24.55
126,6,7,1922,,11.85,0.0,28.0,15.7,21.85
127,6,8,1922,,11.3,0.0,27.3,15.3,21.3
128,6,9,1922,,10.3,4.7,25.7,14.9,20.3
129,6,10,1922,,10.25,0.0,26.9,13.6,20.25
130,6,11,1922,,12.45,43.1,28.9,16.0,22.45
131,6,12,1922,,12.1,19.7,27.7,16.5,22.1
132,6,13,1922,,11.0,0.0,25.7,16.3,21.0
133,6,14,1922,,11.85,0.0,28.0,15.7,21.85
134,6,15,1922,,11.4,0.0,27.8,15.0,21.4
135,6,16,1922,,12.15,0.4,28.9,15.4,22.15
136,6,17,1922,,14.15,11.6,29.5,18.8,24.15
137,6,18,1922,,12.0,22.5,27.4,16.6,22.0
138,6,19,1922,,11.65,25.5,26.6,16.7,21.65
139,6,20,1922,,11.55,0.0,27.2,15.9,21.55
140,6,21,1922,,12.4,0.0,28.4,16.4,22.4
141,6,22,1922,,12.2,0.0,27.3,17.1,22.2
142,6,23,1922,,11.45,0.0,27.3,15.6,21.45
143,6,24,1922,,10.9,1.6,26.3,15.5,20.9
144,6,25,1922,,11.95,9.2,27.9,16.0,21.95
145,6,26,1922,,10.8,0.0,25.9,15.7,20.8
146,6,27,1922,,11.0,0.4,27.2,14.8,21.0
147,6,28,1922,,10.9,3.0,26.3,15.5,20.9
148,6,29,1922,,9.45,1.0,24.1,14.8,19.45
149,6,30,1922,,11.6,0.1,28.0,15.2,21.6
150,7,1,1922,,12.05,1.5,28.3,15.8,22.05
151,7,2,1922,,12.15,12.9,27.8,16.5,22.15
152,7,3,1922,,12.35,12.7,27.7,17.0,22.35
153,7,4,1922,,10.9,6.9,26.1,15.7,20.9
154,7,5,1922,,11.75,0.0,27.8,15.7,21.75
155,7,6,1922,,11.55,0.0,27.2,15.9,21.55
156,7,7,1922,,12.45,1.5,28.6,16.3,22.45
157,7,8,1922,,11.6,8.8,26.7,16.5,21.6
158,7,9,1922,,10.95,0.0,25.9,16.0,20.95
159,7,10,1922,,12.4,0.0,28.0,16.8,22.4
160,7,11,1922,,11.35,0.0,27.9,14.8,21.35
161,7,12,1922,,13.2,0.0,29.3,17.1,23.2
162,7,13,1922,,12.5,0.0,29.3,15.7,22.5
163,7,14,1922,,11.45,0.0,28.4,14.5,21.45
164,7,15,1922,,11.6,0.0,28.5,14.7,21.6
165,7,16,1922,,11.9,0.2,29.2,14.6,21.9
166,7,17,1922,,12.2,31.6,28.7,15.7,22.2
167,7,18,1922,,12.0,22.1,28.1,15.9,22.0
168,7,19,1922,,10.35,18.0,24.0,16.7,20.35
169,7,20,1922,,10.25,2.2,25.0,15.5,20.25
170,7,21,1922,,10.75,0.0,27.0,14.5,20.75
171,7,22,1922,,11.2,0.4,27.7,14.7,21.2
172,7,23,1922,,12.05,0.0,29.2,14.9,22.05
173,7,24,1922,,11.35,0.0,27.7,15.0,21.35
174,7,25,1922,,11.65,0.0,27.9,15.4,21.65
175,7,26,1922,,12.05,0.0,28.5,15.6,22.05
176,7,27,1922,,12.05,0.0,28.4,15.7,22.05
177,7,28,1922,,12.45,0.0,29.5,15.4,22.45
178,7,29,1922,,12.15,0.0,29.1,15.2,22.15
179,7,30,1922,,12.75,8.5,29.4,16.1,22.75
180,7,31,1922,,12.4,0.0,29.1,15.7,22.4
181,8,1,1922,,11.7,0.0,27.9,15.5,21.7
182,8,2,1922,,12.0,39.6,29.1,14.9,22.0
183,8,3,1922,,12.05,4.9,28.5,15.6,22.05
184,8,4,1922,,11.0,0.1,27.6,14.4,21.0
185,8,5,1922,,11.8,2.2,28.1,15.5,21.8
186,8,6,1922,,11.6,0.0,28.5,14.7,21.6
187,8,7,1922,,11.9,0.0,29.0,14.8,21.9
188,8,8,1922,,13.2,0.0,30.0,16.4,23.2
189,8,9,1922,,12.5,0.0,29.5,15.5,22.5
190,8,10,1922,,13.45,6.2,29.5,17.4,23.45
191,8,11,1922,,12.2,0.0,28.7,15.7,22.2
192,8,12,1922,,12.65,0.0,29.7,15.6,22.65
193,8,13,1922,,12.75,0.0,29.8,15.7,22.75
